"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"IMI";"IPT"
"89";"20001010043P8";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,58578399122807;0,0208333333333333
"90";"20002017004P9";"CIÊNCIA DA COMPUTAÇÃO";"ESTADUAL";"PÚBLICA";2011;"PROFISSIONAL";"3";0,566341991341991;0,119047619047619
"91";"20002017005P5";"MEDICINA VETERINÁRIA";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";0,378914088628763;0,0222222222222222
"92";"20002017007P8";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,591024743230626;0,0256410256410256
"93";"20009011001P4";"ODONTOLOGIA";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";0,487053571428571;0,0476190476190476
"94";"20009011002P0";"CIÊNCIAS BIOLÓGICAS III";"PARTICULAR";"PRIVADA";2008;"ACADÊMICO";"3";0,626955128205128;0,444444444444444
"95";"21001014002P2";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,383215130023641;0,05
"96";"21001014003P9";"QUÍMICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,340543277883431;0,217948717948718
"97";"21001014020P0";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,386937830687831;0,0925925925925926
"98";"21001014024P6";"MATERIAIS";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,438385658302991;0,37037037037037
"99";"21001014031P2";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,503527448428764;0,214285714285714
"100";"22001018001P9";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"4";0,354582543103175;0,00476190476190476
"101";"22001018002P5";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"6";0,297036387868931;0,0520833333333333
"102";"22001018003P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1965;"ACADÊMICO";"6";0,321457311016135;0,0303030303030303
"103";"22001018004P8";"QUÍMICA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,326530127425647;0,2
"104";"22001018006P0";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"4";0,345640424001769;0,137254901960784
"105";"22001018007P7";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"6";0,338029878618114;0,08
"106";"22001018008P3";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,370549242424242;0,0208333333333333
"107";"22001018010P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1975;"ACADÊMICO";"6";0,464696832750013;0,196078431372549
"108";"22001018012P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";0,387962433257056;0,140350877192982
"109";"22001018013P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";0,392504033676087;0,0588235294117647
"110";"22001018014P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,398776152337365;0,375
"111";"22001018019P5";"MEDICINA II";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"4";0,531966158783201;0,0666666666666667
"112";"22001018021P0";"ENFERMAGEM";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"5";0,282278199595055;0,0289855072463768
"113";"22001018023P2";"MEDICINA III";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"5";0,355793007852135;0,0757575757575758
"114";"22001018027P8";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"3";0,33228529682334;0,0317460317460317
"115";"22001018031P5";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";0,393947523830336;0,0952380952380952
"116";"22001018032P1";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,314942956349206;0,111111111111111
"117";"22001018035P0";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";0,350347423225843;0,1875
"118";"22001018044P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"5";0,411413697377867;0,0166666666666667
"119";"22001018046P2";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,269963361185517;0,0729166666666667
"120";"22001018047P9";"MEDICINA I";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"6";0,402791668936184;0,126984126984127
"121";"22001018048P5";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"5";0,402686083847812;0,277777777777778
"122";"22001018054P5";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,686742424242424;0,212121212121212
"123";"22001018059P7";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,494821591829808;0,37037037037037
"124";"22001018072P3";"FARMÁCIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";0,452895021645022;0,166666666666667
"125";"22001018078P1";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,65648682457893;0,0606060606060606
"126";"22001018079P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,564475334448161;0,125
"127";"22001018080P6";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";0,474207349023526;0,0980392156862745
"128";"22001018082P9";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";0,466849819186776;0,0757575757575758
"129";"22001018084P1";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,532379832810867;0,0606060606060606
"130";"22001018085P8";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,617982104700855;0,0277777777777778
"131";"22002014002P1";"CIÊNCIA DA COMPUTAÇÃO";"PARTICULAR";"PRIVADA";1999;"ACADÊMICO";"4";0,471710909589229;0,3125
"132";"22002014004P4";"SAÚDE COLETIVA";"PARTICULAR";"PRIVADA";2003;"ACADÊMICO";"4";0,496930304688925;0,111111111111111
"133";"22002014007P3";"MEDICINA I";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";0,458742843801838;0,138888888888889
