"";"CD_PROGRAMA_IES";"QPA"
"534";"33002010004P5";3
"535";"33002010005P1";1
"536";"33002010006P8";1
"537";"33002010007P4";1
"538";"33002010018P6";1
"539";"33002010029P8";1
"540";"33002010037P0";9
"541";"33002010045P3";10
"542";"33002010046P0";17
"543";"33002010049P9";3
"544";"33002010050P7";1
"545";"33002010052P0";1
"546";"33002010053P6";1
"547";"33002010068P3";1
"548";"33002010077P2";6
"549";"33002010081P0";1
"550";"33002010084P9";2
"551";"33002010097P3";4
"552";"33002010104P0";1
"553";"33002010109P1";1
"554";"33002010112P2";1
"555";"33002010113P9";1
"556";"33002010116P8";6
"557";"33002010130P0";13
"558";"33002010132P3";2
"559";"33002010151P8";2
"560";"33002010161P3";1
"561";"33002010162P0";12
"562";"33002010174P8";4
"563";"33002010176P0";4
"564";"33002010186P6";1
"565";"33002010188P9";2
"566";"33002010190P3";5
"567";"33002010194P9";2
"568";"33002010198P4";4
"569";"33002010199P0";1
"570";"33002010203P8";2
"571";"33002010212P7";1
"572";"33002010214P0";25
"573";"33002010216P2";1
"574";"33002010224P5";3
"575";"33002010229P7";1
"576";"33002010231P1";1
"577";"33002010235P7";9
"578";"33002010242P3";1
"579";"33002029005P7";1
"580";"33002029014P6";1
"581";"33002029017P5";4
"582";"33002029020P6";2
"583";"33002029023P5";1
"584";"33002029027P0";4
"585";"33002029035P3";1
"586";"33002029036P0";3
"587";"33002029040P7";1
"588";"33002029041P3";1
"589";"33002029047P1";10
"590";"33002037003P0";2
"591";"33002037004P6";3
"592";"33002037021P8";1
"593";"33002037023P0";3
"594";"33002037024P7";2
"595";"33002045002P9";1
"596";"33002045006P4";1
"597";"33002045007P0";10
"598";"33002045008P7";2
"599";"33002045011P8";1
"600";"33002045014P7";1
"601";"33002045018P2";1
"602";"33002045021P3";2
"603";"33002045070P4";1
"604";"33002053009P9";5
"605";"33002053010P7";3
"606";"33002088002P0";3
"607";"33002088004P3";2
"608";"33003017002P9";1
"609";"33003017005P8";2
"610";"33003017006P4";3
"611";"33003017007P0";3
"612";"33003017010P1";2
"613";"33003017021P3";9
"614";"33003017022P0";2
"615";"33003017024P2";7
"616";"33003017026P5";8
"617";"33003017029P4";1
"618";"33003017038P3";1
"619";"33003017041P4";2
"620";"33003017049P5";1
"621";"33003017052P6";2
"622";"33003017054P9";1
"623";"33003017058P4";1
"624";"33003017061P5";1
"625";"33003017063P8";2
"626";"33003017066P7";1
"627";"33003017076P2";2
"628";"33003017077P9";1
"629";"33003017085P1";3
"630";"33003017090P5";1
"631";"33003017093P4";1
"632";"33003017094P0";2
"633";"33003017095P7";1
"634";"33003017096P3";1
"635";"33003025001P8";8
"636";"33003025002P4";1
"637";"33003025003P0";2
"638";"33003025004P7";1
"639";"33004013063P4";2
"640";"33004013066P3";5
"641";"33004021011P0";1
"642";"33004048018P5";2
"643";"33004056079P0";1
"644";"33004056082P0";4
"645";"33004056083P7";3
"646";"33004056087P2";24
"647";"33004056088P9";2
"648";"33004056089P5";2
"649";"33004056090P3";2
"650";"33004056091P0";1
"651";"33004064038P7";4
"652";"33004064056P5";1
"653";"33004064078P9";1
"654";"33004064079P5";4
"655";"33004064081P0";1
"656";"33004080027P6";1
"657";"33004102001P4";1
"658";"33004102002P0";1
"659";"33004102070P6";4
"660";"33004102072P9";1
"661";"33004110043P4";12
"662";"33004129045P2";1
"663";"33004137031P7";11
"664";"33004137062P0";1
"665";"33004137066P5";1
"666";"33004153073P2";14
"667";"33005010001P9";1
"668";"33005010013P7";1
"669";"33005010014P3";1
"670";"33005010018P9";1
"671";"33005010020P3";1
"672";"33005010021P0";2
"673";"33005010023P2";7
"674";"33005010026P1";4
"675";"33005010027P8";2
"676";"33005010032P1";7
"677";"33005010034P4";4
"678";"33006016011P7";3
"679";"33006016014P6";2
"680";"33008019006P6";23
"681";"33008019007P2";4
"682";"33009015066P5";4
"683";"33009015067P1";1
"684";"33009015076P0";1
"685";"33009015077P7";1
"686";"33009015081P4";1
"687";"33009015083P7";1
"688";"33010013002P1";2
"689";"33010013009P6";50
"690";"33011010001P5";3
"691";"33011010005P0";8
"692";"33011010008P0";6
"693";"33011010009P6";3
"694";"33011010012P7";3
"695";"33011010013P3";6
"696";"33014019001P0";1
"697";"33014019004P0";2
"698";"33019010003P5";1
"699";"33019010010P1";1
"700";"33021015006P5";1
"701";"33024014016P0";4
"702";"33024014017P6";6
"703";"33027013003P4";2
"704";"33028010004P0";2
"705";"33032017010P0";5
"706";"33038015007P8";1
"707";"33050015005P8";1
"708";"33051011004P8";1
"709";"33051011007P7";2
"710";"33056013013P9";3
"711";"33056013014P5";4
"712";"33056013015P1";3
"713";"33063010003P0";5
"714";"33065012002P2";1
"715";"33065012003P9";1
"716";"33065012004P5";3
"717";"33067015002P5";1
"718";"33068011005P0";2
"719";"33078017001P7";1
"720";"33078017002P3";3
"721";"33078017009P8";3
"722";"33082014001P0";1
"723";"33082014002P7";2
"724";"33083010001P7";1
"725";"33083010003P0";7
"726";"33083010004P6";1
"727";"33084017001P3";1
"728";"33087016001P2";17
"729";"33087016002P9";3
"730";"33092010001P6";6
"731";"33092010008P0";2
"732";"33092010009P7";1
"733";"33092010010P5";1
"734";"33092010016P3";2
"735";"33099014002P3";1
"736";"33106010002P5";7
"737";"33110018002P9";4
"738";"33110018003P5";2
"739";"33114013001P8";1
"740";"33119015002P6";1
"741";"33125015001P6";1
"742";"33126011002P9";1
"743";"33131015001P2";1
"744";"33139016002P0";1
"745";"33140014001P8";1
"746";"33142017003P3";1
"747";"33142017004P0";1
"748";"33144010002P3";2
"749";"33144010004P6";2
"750";"33144010008P1";9
"751";"33144010011P2";8
"752";"33144010014P1";2
"753";"33146012002P2";6
"754";"33149011001P5";5
"755";"33149011002P1";1
"756";"33150010001P3";2
"757";"33157014001P4";1
"758";"33158010001P0";1
"759";"33160015001P1";1
"760";"33278016001P1";7
"761";"33280010001P2";4
"762";"33283010001P5";5
"763";"33287015001P7";1
"764";"40001016001P0";1
"765";"40001016003P2";1
"766";"40001016008P4";1
"767";"40001016012P1";1
"768";"40001016014P4";4
"769";"40001016021P0";1
"770";"40001016023P3";1
"771";"40001016025P6";6
"772";"40001016028P5";1
"773";"40001016030P0";1
"774";"40001016035P1";5
"775";"40001016036P8";1
"776";"40001016043P4";4
"777";"40001016054P6";1
"778";"40001016055P2";1
"779";"40001016057P5";1
"780";"40001016058P1";2
"781";"40001016070P1";2
"782";"40001016072P4";1
"783";"40001016075P3";2
"784";"40001016081P3";1
"785";"40002012018P6";1
"786";"40002012024P6";2
"787";"40002012027P5";1
"788";"40002012028P1";2
"789";"40002012029P8";1
"790";"40002012033P5";12
"791";"40002012034P1";2
"792";"40002012039P3";1
"793";"40002012040P1";1
"794";"40002012041P8";1
"795";"40002012042P4";3
"796";"40002012048P2";1
"797";"40003019004P1";1
"798";"40003019005P8";1
"799";"40003019006P4";2
"800";"40003019010P1";22
"801";"40003019011P8";23
"802";"40004015013P7";1
"803";"40004015019P5";2
"804";"40004015027P8";2
"805";"40004015041P0";2
"806";"40005011013P3";7
"807";"40005011015P6";1
"808";"40006018001P1";5
"809";"40006018003P4";13
"810";"40006018004P0";1
"811";"40006018005P7";2
"812";"40006018006P3";1
"813";"40006018008P6";1
"814";"40006018010P0";1
"815";"40006018011P7";4
"816";"40006018012P3";1
"817";"40006018013P0";1
"818";"40006018017P5";1
"819";"40006018018P1";1
"820";"40006018019P8";1
"821";"40006018024P1";1
"822";"40006018025P8";9
"823";"40006018026P4";1
"824";"40006018027P0";3
"825";"40006018028P7";1
"826";"40006018031P8";3
"827";"40006018034P7";1
"828";"40006018037P6";7
"829";"40009017001P0";4
"830";"40014010010P0";2
"831";"40014010012P2";2
"832";"40015017001P7";3
"833";"40015017005P2";3
"834";"40015017007P5";1
"835";"40015017016P4";6
"836";"40015017017P0";1
"837";"40015017025P3";1
"838";"40015017027P6";1
"839";"40015017028P2";1
"840";"40015017070P9";2
"841";"40020010003P0";2
"842";"40022013003P2";8
"843";"40022013007P8";8
"844";"40024016004P1";6
"845";"40030016002P5";3
"846";"40030016004P8";1
"847";"40033015001P8";10
"848";"40051013001P9";9
"849";"40076016002P0";1
"850";"40077012001P0";9
"851";"41001010005P1";4
"852";"41001010006P8";1
"853";"41001010009P7";1
"854";"41001010012P8";1
"855";"41001010015P7";1
"856";"41001010020P0";1
"857";"41001010023P0";1
"858";"41001010025P2";24
"859";"41001010031P2";1
"860";"41001010033P5";1
"861";"41001010035P8";2
"862";"41001010036P4";2
"863";"41001010040P1";4
"864";"41001010043P0";1
"865";"41001010048P2";2
"866";"41001010050P7";2
"867";"41001010053P6";2
"868";"41001010055P9";17
"869";"41001010078P9";1
"870";"41001010079P5";3
"871";"41001010086P1";4
"872";"41001010087P8";6
"873";"41001010090P9";2
"874";"41001010156P0";1
"875";"41001010160P7";2
"876";"41001010161P3";1
"877";"41002016001P9";3
"878";"41002016009P0";15
"879";"41002016012P0";6
"880";"41002016014P3";1
"881";"41002016018P9";6
"882";"41002016019P5";2
"883";"41002016020P3";7
"884";"41002016023P2";2
"885";"41002016025P5";8
"886";"41002016026P1";1
"887";"41002016156P2";1
"888";"41002016158P5";1
"889";"41004019005P7";1
"890";"41005015010P7";20
"891";"41006011007P2";1
"892";"41006011009P5";1
"893";"41007018002P7";1
"894";"41007018005P6";1
"895";"41008014001P7";5
"896";"41008014003P0";1
"897";"41011015001P4";3
"898";"41015010001P0";1
"899";"41016017005P1";1
"900";"41016017007P4";1
"901";"41017013001P2";1
"902";"42001013001P5";6
"903";"42001013003P8";1
"904";"42001013004P4";3
"905";"42001013006P7";1
"906";"42001013008P0";2
"907";"42001013015P6";1
"908";"42001013016P2";1
"909";"42001013023P9";1
"910";"42001013025P1";9
"911";"42001013026P8";1
"912";"42001013031P1";2
"913";"42001013033P4";1
"914";"42001013046P9";6
"915";"42001013051P2";1
"916";"42001013055P8";2
"917";"42001013058P7";1
"918";"42001013059P3";24
"919";"42001013066P0";1
"920";"42001013067P6";1
"921";"42001013075P9";19
"922";"42001013083P1";5
"923";"42001013089P0";26
"924";"42001013096P6";3
"925";"42001013098P9";4
"926";"42001013102P6";1
"927";"42001013106P1";1
"928";"42001013170P1";3
"929";"42002010003P8";18
"930";"42002010004P4";21
"931";"42002010007P3";4
"932";"42002010008P0";10
"933";"42002010019P1";4
"934";"42002010020P0";2
"935";"42002010025P1";2
"936";"42002010033P4";14
"937";"42002010036P3";10
"938";"42002010038P6";4
"939";"42002010040P0";1
"940";"42002010041P7";1
"941";"42002010048P1";2
"942";"42002010055P8";2
"943";"42002010056P4";11
"944";"42003016022P5";2
"945";"42003016025P4";1
"946";"42003016032P0";10
"947";"42003016034P3";1
"948";"42003016038P9";16
"949";"42003016042P6";1
"950";"42003016048P4";3
"951";"42003016051P5";1
"952";"42004012002P0";1
"953";"42004012004P3";1
"954";"42004012014P9";1
"955";"42004012021P5";1
"956";"42004012022P1";1
"957";"42004012024P4";1
"958";"42005019001P0";2
"959";"42005019005P6";1
"960";"42005019014P5";1
"961";"42005019015P1";1
"962";"42005019016P8";8
"963";"42005019017P4";5
"964";"42005019021P1";2
"965";"42005019022P8";1
"966";"42005019027P0";1
"967";"42005019033P0";9
"968";"42006015003P0";2
"969";"42007011002P0";3
"970";"42007011003P6";1
"971";"42007011004P2";6
"972";"42007011006P5";23
"973";"42007011007P1";2
"974";"42007011013P1";1
"975";"42007011015P4";7
"976";"42007011024P3";1
"977";"42007011025P0";1
"978";"42007011031P0";1
"979";"42008018007P8";9
"980";"42008018010P9";2
"981";"42008018011P5";1
"982";"42008018012P1";1
"983";"42009014004P5";1
"984";"42009014006P8";5
"985";"42009014011P1";24
"986";"42010012006P2";3
"987";"42010012007P9";4
"988";"42015014006P4";4
"989";"42015014008P7";1
"990";"42015014011P8";1
"991";"42019010011P7";1
"992";"42019010013P0";1
"993";"42020018003P5";1
"994";"42020018004P1";12
"995";"42020018005P8";1
"996";"42020018006P4";1
"997";"42020018008P7";4
"998";"42021014001P9";1
"999";"42021014003P1";2
"1000";"42021014004P8";1
"1001";"42024013001P8";4
"1002";"42024013003P0";2
"1003";"42024013004P7";2
"1004";"42033012001P3";1
"1005";"42039010001P1";1
"1006";"42041015006P4";13
"1007";"42041015007P0";7
"1008";"42041015008P7";4
"1009";"42042011001P9";1
"1010";"42042011002P5";1
"1011";"42043018001P5";1
"1012";"42043018002P1";1
"1013";"42044014002P8";6
"1014";"42046017001P4";11
"1015";"42046017003P7";1
"1016";"50001019007P6";1
"1017";"50001019016P5";2
"1018";"50001019026P0";1
"1019";"50001019027P7";3
"1020";"50002015006P6";5
"1021";"50002015102P5";1
"1022";"51001012012P2";6
"1023";"51001012023P4";3
"1024";"51001012028P6";4
"1025";"51001012030P0";1
"1026";"51001012035P2";1
"1027";"51001012038P1";3
"1028";"51002019003P0";3
"1029";"51002019005P2";1
"1030";"51002019006P9";8
"1031";"51003015002P0";3
"1032";"51004011006P1";1
"1033";"51005018012P8";2
"1034";"52001016003P6";1
"1035";"52001016013P1";1
"1036";"52001016014P8";7
"1037";"52001016018P3";3
"1038";"52001016026P6";1
"1039";"52001016027P2";7
"1040";"52001016031P0";1
"1041";"52001016033P2";1
"1042";"52001016037P8";1
"1043";"52001016045P0";1
"1044";"52001016059P1";3
"1045";"52001016060P0";1
"1046";"52001016061P6";2
"1047";"52001016062P2";1
"1048";"52001016064P5";10
"1049";"52001016068P0";1
"1050";"52001016070P5";1
"1051";"52001016105P3";3
"1052";"52002012001P0";8
"1053";"52002012013P8";1
"1054";"52010015102P0";2
"1055";"52010015105P9";1
"1056";"52016013002P3";1
"1057";"53001010001P0";2
"1058";"53001010005P5";1
"1059";"53001010007P8";1
"1060";"53001010011P5";1
"1061";"53001010016P7";1
"1062";"53001010018P0";8
"1063";"53001010029P1";1
"1064";"53001010031P6";1
"1065";"53001010036P8";5
"1066";"53001010040P5";4
