"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI";"IMI_nDi";"DIF";"PRC_DIF"
"166";"20001010012P5";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,759259259259259;0,580645161290323;0,481182795698925;0,471014492753623;0,573025427250532;0,570485515903936;0,0025399113465967;0,443245836189783
"167";"20001010013P1";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,138888888888889;0,166666666666667;0,302828324775999;0,508333333333333;0,279179303416222;0,316683515666074;-0,0375042122498518;-13,4337365954157
"168";"20001010014P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,623188405797101;0,443037974683544;0,484059785066991;0,49683908045977;0,511781311501852;0,534695757107954;-0,0229144456061026;-4,47739006703055
"169";"20001010015P4";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,638888888888889;0,235294117647059;0,315333251654006;0,532894736842105;0,430602748758015;0,495705625795;-0,0651028770369853;-15,1190110199624
"170";"20001010017P7";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,266666666666667;0,117647058823529;0,437766410912191;0,437962962962963;0,315010774841337;0,380798680180607;-0,0657879053392694;-20,8843349477188
"171";"20001010019P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,166666666666667;0,923076923076923;0,958333333333333;0,734848484848485;0,695731351981352;0,619949494949495;0,0757818570318571;10,8924021917426
"172";"20001010020P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,789473684210526;0,640625;0,500443510737628;0,498958333333333;0,607375132070372;0,596291842760496;0,011083289309876;1,82478483636565
"173";"20001010021P4";"ECONOMIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,583333333333333;0,928571428571429;0,966666666666667;0,507777777777778;0,746587301587302;0,685925925925926;0,0606613756613757;8,12515502639879
"174";"20001010022P0";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,461538461538462;0,543859649122807;0,477471806976134;0,404901960784314;0,471942969605429;0,447970743099637;0,0239722265057926;5,07947528614204
"175";"20001010023P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";0,575757575757576;0,766666666666667;0,65;0,448684210526316;0,610277113237639;0,558147262094631;0,0521298511430089;8,54199674414298
"176";"20001010024P3";"HISTÓRIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,380952380952381;0,4;0,833333333333333;0,407291666666667;0,505394345238095;0,540525793650794;-0,0351314484126983;-6,95129431971536
"177";"20001010025P0";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,533333333333333;0,454545454545455;0,651960784313726;0,434259259259259;0,518524707862943;0,539851125635439;-0,0213264177724962;-4,11290290493413
"178";"20001010026P6";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,555555555555556;0,685714285714286;0,460301938582947;0,373529411764706;0,518775297904374;0,463128968634403;0,0556463292699707;10,7264801340306
"179";"20001010027P2";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,5;0,607843137254902;0,611111111111111;0,539912280701754;0,564716632266942;0,550341130604289;0,0143755016626533;2,5456132936878
"180";"20001010028P9";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,909090909090909;0,763157894736842;0,552272727272727;0,573809523809524;0,699582763727501;0,678391053391053;0,0211917103364471;3,02919274676436
"181";"20001010029P5";"DIREITO";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,533333333333333;0,351351351351351;0,6;0,407051282051282;0,472933991683992;0,513461538461538;-0,0405275467775468;-8,56938758688903
"182";"20001010031P0";"MATERIAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,285714285714286;0,724137931034483;0,4575;0,392948717948718;0,465075233674372;0,378721001221001;0,0863542324533704;18,567798541135
"183";"20001010032P6";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,444444444444444;0,666666666666667;0,611111111111111;0,506862745098039;0,557271241830065;0,520806100217865;0,0364651416122005;6,543517568294
"184";"20001010041P5";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";0,649122807017544;0,450704225352113;1;0,479365079365079;0,644798027933684;0,709495962127541;-0,0646979341938571;-10,0338294149546
"185";"20001010042P1";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,666666666666667;0,657142857142857;0,634523809523809;0,473684210526316;0,608004385964912;0,591624895572264;0,0163794903926483;2,69397569668084
"186";"20001010043P8";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,583333333333333;0,59375;0,67;0,496052631578947;0,58578399122807;0,58312865497076;0,00265533625730996;0,453296146202829
"187";"20002017001P0";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";1996;"ACADÊMICO";"4";0,615384615384615;0,236111111111111;0,418206302643542;0,508823529411765;0,444631389637758;0,514138149146641;-0,0695067595088824;-15,6324454657845
"188";"20002017002P6";"MEDICINA VETERINÁRIA";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,523809523809524;0,574468085106383;0,53743961352657;0,451851851851852;0,521892268573582;0,504366996395982;0,0175252721776004;3,35802487082245
