"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"281";"21001014011P1";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";16;17;6;21;0,761904761904762;0,80952380952381;0,285714285714286;0,619047619047619
"282";"21001014012P8";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";2;3;2;15;0,133333333333333;0,2;0,133333333333333;0,155555555555556
"283";"21001014013P4";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";6;8;6;11;0,545454545454545;0,727272727272727;0,545454545454545;0,606060606060606
"284";"21001014014P0";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";2;3;6;9;0,222222222222222;0,333333333333333;0,666666666666667;0,407407407407407
"285";"21001014015P7";"FILOSOFIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";4;3;7;17;0,235294117647059;0,176470588235294;0,411764705882353;0,274509803921569
"286";"21001014016P3";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";2;2;4;15;0,133333333333333;0,133333333333333;0,266666666666667;0,177777777777778
"287";"21001014017P0";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";5;5;7;10;0,5;0,5;0,7;0,566666666666667
"288";"21001014018P6";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";5;6;5;10;0,5;0,6;0,5;0,533333333333333
"289";"21001014019P2";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";6;7;3;12;0,5;0,583333333333333;0,25;0,444444444444444
"290";"21001014020P0";"CIÊNCIA DE ALIMENTOS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";14;9;6;18;0,777777777777778;0,5;0,333333333333333;0,537037037037037
"291";"21001014021P7";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";3;1;2;19;0,157894736842105;0,0526315789473684;0,105263157894737;0,105263157894737
"292";"21001014022P3";"FARMÁCIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";13;11;10;17;0,764705882352941;0,647058823529412;0,588235294117647;0,666666666666667
"293";"21001014023P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";6;10;5;13;0,461538461538462;0,769230769230769;0,384615384615385;0,538461538461538
"294";"21001014024P6";"MATERIAIS";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";9;8;11;18;0,5;0,444444444444444;0,611111111111111;0,518518518518518
"295";"21001014025P2";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";12;11;7;16;0,75;0,6875;0,4375;0,625
"296";"21001014026P9";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";4;6;10;12;0,333333333333333;0,5;0,833333333333333;0,555555555555555
"297";"21001014027P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";5;7;5;15;0,333333333333333;0,466666666666667;0,333333333333333;0,377777777777778
