"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"CC";"CP";"IMI"
"392";"23002018074P5";"GEOGRAFIA";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,575757575757576;0,813809523809524;0,566071428571429;0,651879509379509
"393";"23003014011P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"5";0,450980392156863;0,372278911564626;0,380555555555556;0,401271619759015
"394";"23003014013P2";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,647058823529412;0,483498498498499;0,458666666666667;0,529741329564859
"395";"23003014016P1";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,717948717948718;0,407738095238095;0,427777777777778;0,51782153032153
"396";"23003014018P4";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";0,428571428571429;0,488020833333333;0,481018518518519;0,465870260141094
"397";"23003014019P0";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,666666666666667;0,617647058823529;0,463157894736842;0,582490540075679
"398";"23003014072P9";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";0,833333333333333;0,667929292929293;0,437037037037037;0,646099887766554
"399";"23004010003P3";"ENGENHARIAS II";"PARTICULAR";"PRIVADA";2011;"PROFISSIONAL";"3";0,722222222222222;0,623626373626374;0,505952380952381;0,617266992266992
"400";"23004010004P0";"BIOTECNOLOGIA";"PARTICULAR";"PRIVADA";2012;"PROFISSIONAL";"3";0,714285714285714;1;0,41875;0,711011904761905
"401";"23004010007P9";"BIOTECNOLOGIA";"PARTICULAR";"PRIVADA";2016;"ACADÊMICO";"3";0,711111111111111;1;0,386764705882353;0,699291938997821
"402";"24001015058P6";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";0,0925925925925926;0,245833333333333;0,58125;0,306558641975309
"403";"24004014005P9";"ENGENHARIAS I";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,607843137254902;0,708333333333333;0,491666666666667;0,602614379084967
