"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QPPP";"SPPAP";"QPPr";"QPA";"iQPP";"iQPPr";"iQPA";"IPT"
"1778";"32011016015P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";19;0;0;2;0;0;0,105263157894737;0,0350877192982456
"1779";"32011016040P4";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";17;2;0;0;0,117647058823529;0;0;0,0392156862745098
"1780";"32011016041P0";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
"1781";"32011016042P7";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"1782";"32011016043P3";NA;NA;NA;NA;NA;NA;13;0;0;0;0;0;0;0
"1783";"32012012001P5";"MEDICINA II";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";27;0;0;0;0;0;0;0
"1784";"32012012003P8";"MEDICINA II";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"5";19;0;0;0;0;0;0;0
"1785";"32012012004P4";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";13;0;0;0;0;0;0;0
"1786";"32012012005P0";"CIÊNCIAS BIOLÓGICAS II";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";20;0;0;0;0;0;0;0
"1787";"32012012006P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";20;2;0;6;0,1;0;0,3;0,133333333333333
"1788";"32012012007P3";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"1789";"32012012008P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";13;0;0;0;0;0;0;0
"1790";"32012012009P6";"MATERIAIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";14;1;1;0;0,0714285714285714;0,0714285714285714;0;0,0476190476190476
"1791";"32012012070P7";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";15;0;0;0;0;0;0;0
"1792";"32012012170P1";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"1793";"32012012171P8";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";16;1;0;0;0,0625;0;0;0,0208333333333333
"1794";"32014015001P8";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"4";17;0;0;0;0;0;0;0
"1795";"32014015002P4";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2005;"ACADÊMICO";"4";15;0;0;0;0;0;0;0
"1796";"32014015003P0";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2007;"PROFISSIONAL";"4";15;0;0;1;0;0;0,0666666666666667;0,0222222222222222
"1797";"32014015004P7";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2007;"ACADÊMICO";"5";21;2;0;1;0,0952380952380952;0;0,0476190476190476;0,0476190476190476
"1798";"32014015005P3";"ZOOTECNIA / RECURSOS PESQUEIROS";"ESTADUAL";"PÚBLICA";2008;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"1799";"32014015006P0";"BIODIVERSIDADE";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";17;1;0;1;0,0588235294117647;0;0,0588235294117647;0,0392156862745098
"1800";"32014015007P6";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"1801";"32014015008P2";"HISTÓRIA";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
