"";"CD_PROGRAMA_IES";"SPPAP"
"344";"28002016014P6";1
"345";"28002016018P1";6
"346";"28005015004P0";1
"347";"28005015010P0";1
"348";"28006011004P6";1
"349";"28006011012P9";2
"350";"28007018001P3";2
"351";"28007018003P6";6
"352";"28007018008P8";10
"353";"28007018010P2";4
"354";"28007018012P5";1
"355";"28007018016P0";8
"356";"28007018019P0";3
"357";"28008014002P6";6
"358";"28008014004P9";7
"359";"28022017001P5";3
"360";"28022017002P1";5
"361";"28022017003P8";1
"362";"28022017004P4";4
"363";"28022017007P3";5
"364";"28023013001P1";4
"365";"28023013002P8";3
"366";"28024010001P1";2
"367";"28025016001P4";5
"368";"28048016001P7";5
"369";"30001013002P8";1
"370";"30001013003P4";2
"371";"30001013004P0";2
"372";"30001013005P7";6
"373";"30001013011P7";9
"374";"30001013012P3";2
"375";"30001013016P9";2
"376";"30001013021P2";10
"377";"30001013029P3";18
"378";"30001013030P1";1
"379";"30001013036P0";2
"380";"30001013047P1";6
"381";"30001013048P8";1
"382";"30001013049P4";8
"383";"30001013104P5";2
"384";"30004012001P0";4
"385";"30004012071P9";2
"386";"30004012073P1";4
"387";"30011019001P3";1
"388";"30011019002P0";1
"389";"30011019003P6";1
"390";"30013011001P6";1
"391";"31001017004P3";1
"392";"31001017006P6";15
"393";"31001017008P9";6
"394";"31001017009P5";1
"395";"31001017011P0";1
"396";"31001017012P6";2
"397";"31001017013P2";24
"398";"31001017015P5";9
"399";"31001017016P1";1
"400";"31001017017P8";12
"401";"31001017028P0";7
"402";"31001017029P6";3
"403";"31001017031P0";8
"404";"31001017032P7";4
"405";"31001017035P6";1
"406";"31001017036P2";27
"407";"31001017037P9";17
"408";"31001017059P2";1
"409";"31001017087P6";2
"410";"31001017099P4";4
"411";"31001017100P2";25
"412";"31001017110P8";3
"413";"31001017112P0";4
"414";"31001017115P0";1
"415";"31001017136P7";20
"416";"31001017143P3";2
"417";"31001017145P6";1
"418";"31001017147P9";7
"419";"31001017148P5";1
"420";"31001017154P5";4
"421";"31002013001P0";2
"422";"31002013002P7";1
"423";"31002013003P3";3
"424";"31002013006P2";2
"425";"31002013010P0";1
"426";"31002013014P5";2
"427";"31002013023P4";1
"428";"31002013028P6";1
"429";"31002013029P2";1
