"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"48";"12001015039P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";18;26;0,692307692307692;0,692307692307692
"49";"12001015040P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";25;32;0,78125;0,78125
"50";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";25;31;0,806451612903226;0,806451612903226
"51";"12001015042P9";"ENSINO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";31;56;0,553571428571429;0,553571428571429
"52";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";24;37;0,648648648648649;0,648648648648649
"53";"12001015065P9";"MEDICINA III";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";17;44;0,386363636363636;0,386363636363636
"54";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";19;40;0,475;0,475
"55";"12001015171P3";NA;NA;NA;NA;NA;NA;22;25;0,88;0,88
"56";"12001015172P0";NA;NA;NA;NA;NA;NA;24;31;0,774193548387097;0,774193548387097
"57";"12008010001P9";"MEDICINA II";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";14;39;0,358974358974359;0,358974358974359
"58";"12008010002P5";"DIREITO";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";20;51;0,392156862745098;0,392156862745098
"59";"12008010003P1";"BIOTECNOLOGIA";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";23;40;0,575;0,575
"60";"12008010005P4";"ENSINO";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"4";23;53;0,433962264150943;0,433962264150943
"61";"12008010007P7";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";27;46;0,58695652173913;0,58695652173913
"62";"12008010008P3";"MEDICINA II";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";19;25;0,76;0,76
"63";"12008010039P6";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";30;57;0,526315789473684;0,526315789473684
"64";"12008010070P0";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";45;59;0,76271186440678;0,76271186440678
"65";"13001019001P3";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";28;55;0,509090909090909;0,509090909090909
"66";"13001019002P0";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";4;4;1;1
"67";"13001019003P6";"QUÍMICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";7;11;0,636363636363636;0,636363636363636
"68";"13001019004P2";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";10;20;0,5;0,5
"69";"13001019005P9";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";22;45;0,488888888888889;0,488888888888889
"70";"13001019006P5";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";21;28;0,75;0,75
"71";"13001019007P1";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";26;40;0,65;0,65
"72";"13001019008P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";28;43;0,651162790697674;0,651162790697674
"73";"13001019039P0";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";22;33;0,666666666666667;0,666666666666667
