"";"CD_PROGRAMA_IES";"QPPr"
"427";"33002010083P2";1
"428";"33002010084P9";1
"429";"33002010097P3";5
"430";"33002010099P6";3
"431";"33002010123P4";7
"432";"33002010141P2";4
"433";"33002010156P0";8
"434";"33002010162P0";1
"435";"33002010186P6";1
"436";"33002010190P3";2
"437";"33002010191P0";2
"438";"33002010214P0";1
"439";"33002010220P0";7
"440";"33002010225P1";2
"441";"33002010229P7";1
"442";"33002010231P1";3
"443";"33002029005P7";4
"444";"33002029010P0";1
"445";"33002029020P6";1
"446";"33002029026P4";1
"447";"33002029035P3";1
"448";"33002029041P3";2
"449";"33002029047P1";19
"450";"33002037024P7";1
"451";"33002045002P9";18
"452";"33002045006P4";3
"453";"33002045011P8";5
"454";"33002045014P7";3
"455";"33002045017P6";8
"456";"33003017002P9";1
"457";"33003017007P0";13
"458";"33003017021P3";4
"459";"33003017022P0";1
"460";"33003017024P2";4
"461";"33003017027P1";1
"462";"33003017028P8";2
"463";"33003017029P4";2
"464";"33003017033P1";3
"465";"33003017040P8";11
"466";"33003017041P4";2
"467";"33003017046P6";1
"468";"33003017052P6";4
"469";"33003017063P8";2
"470";"33003017065P0";1
"471";"33003017091P1";7
"472";"33003017093P4";1
"473";"33004013063P4";5
"474";"33004021073P5";1
"475";"33004030010P2";1
"476";"33004030055P6";1
"477";"33004030072P8";9
"478";"33004030077P0";5
"479";"33004030079P2";1
"480";"33004048018P5";1
"481";"33004056081P4";1
"482";"33004056082P0";1
"483";"33004056083P7";1
"484";"33004056086P6";1
"485";"33004056087P2";11
"486";"33004056088P9";1
"487";"33004056090P3";1
"488";"33004056091P0";1
"489";"33004064006P8";2
"490";"33004064021P7";1
"491";"33004064078P9";2
"492";"33004064079P5";6
"493";"33004064081P0";10
"494";"33004064082P6";1
"495";"33004064085P5";6
"496";"33004099083P9";1
"497";"33004102001P4";1
"498";"33004102029P6";1
"499";"33004102030P4";1
"500";"33004102069P8";1
"501";"33004102070P6";2
"502";"33004102072P9";1
"503";"33004110043P4";1
"504";"33004137063P6";1
"505";"33004137066P5";2
"506";"33004145082P6";1
"507";"33004153073P2";1
"508";"33004153077P8";1
"509";"33004161001P7";1
"510";"33004170001P6";3
"511";"33005010002P5";1
"512";"33005010014P3";3
"513";"33005010020P3";1
"514";"33005010026P1";3
"515";"33006016011P7";1
"516";"33006016014P6";1
"517";"33006016015P2";15
"518";"33008019006P6";3
"519";"33009015024P0";1
"520";"33009015068P8";1
"521";"33009015075P4";1
"522";"33009015080P8";2
"523";"33010013009P6";3
"524";"33010013010P4";1
"525";"33011010001P5";1
"526";"33011010005P0";1
"527";"33011010008P0";1
"528";"33011010013P3";2
"529";"33019010012P4";1
"530";"33019010013P0";1
"531";"33020019001P7";1
"532";"33021015006P5";1
"533";"33021015014P8";1
"534";"33024014017P6";3
"535";"33024014020P7";8
"536";"33024014031P9";1
"537";"33028010004P0";3
"538";"33032017004P0";4
"539";"33032017010P0";3
"540";"33045011001P2";4
"541";"33052018002P1";1
"542";"33054010005P3";1
"543";"33056013012P2";1
"544";"33056013013P9";2
"545";"33056013014P5";1
"546";"33056013015P1";2
"547";"33057010002P7";1
"548";"33063010002P3";1
"549";"33063010003P0";1
"550";"33065012003P9";1
"551";"33065012004P5";4
"552";"33078017002P3";1
"553";"33081018001P4";1
"554";"33082014002P7";1
"555";"33083010004P6";10
"556";"33087016001P2";16
"557";"33087016002P9";1
"558";"33092010001P6";3
"559";"33092010004P5";1
"560";"33092010008P0";15
"561";"33092010009P7";2
"562";"33092010013P4";2
"563";"33092010014P0";2
"564";"33092010016P3";1
"565";"33093016004P8";4
"566";"33093016006P0";1
"567";"33106010002P5";4
"568";"33107017007P3";14
"569";"33107017008P0";2
"570";"33114013001P8";5
"571";"33115028001P0";1
"572";"33119015001P0";4
"573";"33119015002P6";2
"574";"33142017004P0";1
"575";"33144010011P2";1
"576";"33208018001P9";2
"577";"33245010001P7";1
"578";"33280010001P2";1
"579";"33283010001P5";4
"580";"33287015001P7";1
"581";"33299013001P1";1
"582";"40001016002P6";1
"583";"40001016003P2";2
"584";"40001016014P4";1
"585";"40001016019P6";5
"586";"40001016021P0";1
"587";"40001016027P9";4
"588";"40001016033P9";5
"589";"40001016040P5";1
"590";"40001016042P8";12
"591";"40001016043P4";1
"592";"40001016049P2";2
"593";"40001016053P0";5
"594";"40001016070P1";2
"595";"40001016075P3";1
"596";"40001016078P2";1
"597";"40002012003P9";2
"598";"40002012013P4";1
"599";"40002012016P3";6
"600";"40002012018P6";2
"601";"40002012023P0";4
"602";"40002012024P6";1
"603";"40002012026P9";4
"604";"40002012028P1";1
"605";"40002012033P5";1
"606";"40002012039P3";1
"607";"40002012041P8";1
"608";"40002012046P0";2
"609";"40003019011P8";7
"610";"40003019013P0";4
"611";"40003019016P0";2
"612";"40004015001P9";2
"613";"40004015011P4";2
"614";"40004015018P9";3
"615";"40004015020P3";7
"616";"40004015023P2";1
"617";"40004015026P1";2
"618";"40004015034P4";3
"619";"40004015038P0";1
"620";"40004015042P7";17
"621";"40005011004P4";1
"622";"40005011007P3";3
"623";"40005011009P6";1
"624";"40005011015P6";4
"625";"40006018001P1";6
"626";"40006018003P4";3
"627";"40006018005P7";1
"628";"40006018009P2";1
"629";"40006018010P0";3
"630";"40006018011P7";1
"631";"40006018012P3";5
"632";"40006018013P0";1
"633";"40006018015P2";2
"634";"40006018018P1";12
"635";"40006018019P8";1
"636";"40006018020P6";1
"637";"40006018022P9";1
"638";"40006018024P1";3
"639";"40006018026P4";1
"640";"40006018031P8";1
"641";"40006018034P7";1
"642";"40014010002P7";4
"643";"40014010006P2";1
"644";"40014010010P0";1
"645";"40014010012P2";1
"646";"40015017002P3";1
"647";"40015017003P0";2
"648";"40015017015P8";2
"649";"40015017021P8";5
"650";"40015017022P4";3
"651";"40015017023P0";1
"652";"40022013003P2";2
"653";"40022013004P9";2
"654";"40022013005P5";1
"655";"40022013007P8";2
"656";"40024016001P2";1
"657";"40030016002P5";1
"658";"40033015001P8";7
"659";"40041018001P7";10
"660";"40075010001P1";8
"661";"40077012001P0";3
"662";"41001010005P1";2
"663";"41001010006P8";19
"664";"41001010023P0";2
"665";"41001010031P2";1
"666";"41001010033P5";1
"667";"41001010035P8";4
"668";"41001010038P7";1
"669";"41001010048P2";4
"670";"41001010073P7";5
"671";"41001010079P5";5
"672";"41001010088P4";1
"673";"41002016012P0";6
"674";"41002016015P0";1
"675";"41002016018P9";9
"676";"41002016019P5";1
"677";"41002016020P3";1
"678";"41002016022P6";12
"679";"41002016025P5";2
"680";"41002016026P1";1
"681";"41004019005P7";5
"682";"41005015004P7";2
"683";"41005015008P2";6
"684";"41005015010P7";5
"685";"41006011003P7";3
"686";"41006011009P5";2
"687";"41007018004P0";5
"688";"41008014004P6";3
"689";"41011015001P4";15
"690";"41015010001P0";1
"691";"41017013001P2";1
"692";"41017013002P9";2
"693";"41020014001P0";1
"694";"42001013016P2";7
"695";"42001013023P9";1
"696";"42001013030P5";31
"697";"42001013035P7";1
"698";"42001013040P0";9
"699";"42001013046P9";5
"700";"42001013059P3";2
"701";"42001013079P4";5
"702";"42001013089P0";3
"703";"42001013096P6";1
"704";"42002010003P8";3
"705";"42002010008P0";8
"706";"42002010011P0";35
"707";"42002010013P3";1
"708";"42002010015P6";2
"709";"42002010020P0";1
"710";"42002010032P8";1
"711";"42002010033P4";14
"712";"42002010038P6";1
"713";"42002010056P4";2
"714";"42003016008P2";7
"715";"42003016009P9";18
"716";"42003016020P2";18
"717";"42003016022P5";1
"718";"42003016025P4";4
"719";"42003016028P3";1
"720";"42003016032P0";5
"721";"42003016035P0";1
"722";"42003016038P9";10
"723";"42003016039P5";1
"724";"42003016040P3";2
"725";"42004012014P9";4
"726";"42004012022P1";4
"727";"42005019006P2";2
"728";"42005019015P1";3
"729";"42005019022P8";2
"730";"42005019029P2";3
"731";"42005019034P6";12
"732";"42007011006P5";3
"733";"42007011010P2";1
"734";"42007011015P4";4
"735";"42007011016P0";1
"736";"42007011021P4";2
"737";"42007011024P3";2
"738";"42007011025P0";3
"739";"42007011026P6";1
"740";"42007011031P0";1
"741";"42007011032P6";1
"742";"42008018001P0";2
"743";"42008018007P8";8
"744";"42008018009P0";1
"745";"42008018010P9";2
"746";"42009014004P5";1
"747";"42009014008P0";2
"748";"42009014011P1";1
"749";"42010012003P3";1
"750";"42010012006P2";6
"751";"42010012007P9";3
"752";"42010012008P5";1
"753";"42014018002P2";12
"754";"42015014011P8";2
"755";"42019010011P7";45
"756";"42019010013P0";52
"757";"42019010014P6";10
"758";"42020018001P2";1
"759";"42020018005P8";2
"760";"42021014003P1";2
"761";"42021014004P8";1
"762";"42024013001P8";25
"763";"42033012001P3";1
"764";"42039010001P1";1
"765";"42039010002P8";1
"766";"42039010003P4";1
"767";"42039010004P0";1
"768";"42041015001P2";2
"769";"42041015003P5";13
"770";"42041015004P1";1
"771";"42041015006P4";1
"772";"42041015007P0";1
"773";"42042011001P9";4
"774";"42042011002P5";1
"775";"42043018004P4";3
"776";"42046017001P4";2
"777";"42046017006P6";1
"778";"50001019026P0";1
"779";"51001012013P9";1
"780";"51001012030P0";1
"781";"51001012035P2";1
"782";"51002019005P2";1
"783";"51002019006P9";1
"784";"51003015001P3";1
"785";"51003015002P0";1
"786";"51004011007P8";2
"787";"51004011009P0";2
"788";"52001016013P1";1
"789";"52001016029P5";4
"790";"52001016031P0";3
"791";"52001016033P2";3
"792";"52001016041P5";1
"793";"52001016046P7";1
"794";"52001016048P0";7
"795";"52001016050P4";1
"796";"52001016060P0";2
"797";"52001016062P2";3
"798";"52001016064P5";1
"799";"52005011002P5";2
"800";"52006018001P5";1
"801";"52010015004P8";1
"802";"52012018007P0";1
"803";"53001010005P5";1
"804";"53001010007P8";4
"805";"53001010008P4";1
