"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QIP";"QPV";"DIPP";"DFPP";"QPP";"DFCP";"CC"
"218";"20001010017P7";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";3;23;0,130434782608696;1,05882352941176;1,64705882352941;0,745098039215686;0,437766410912191
"219";"20001010019P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";1;1;1;1,25;1,5;0,916666666666667;0,958333333333333
"220";"20001010020P8";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";3;51;0,0588235294117647;2,23404255319149;2,1063829787234;1,13400878081729;0,596416155114528
"221";"20001010021P4";"ECONOMIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";1;1;1;1,5;1,5;1,11111111111111;1,05555555555556
"222";"20001010022P0";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";6;41;0,146341463414634;1,61290322580645;2,32258064516129;0,808602150537634;0,477471806976134
"223";"20001010023P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";3;10;0,3;2;2;1;0,65
"224";"20001010024P3";"HISTÓRIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";2;3;0,666666666666667;1,26666666666667;1;1,26666666666667;0,966666666666667
"225";"20001010025P0";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";2;6;0,333333333333333;1,54545454545455;1,36363636363636;1,13636363636364;0,734848484848485
"226";"20001010026P6";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";5;67;0,0746268656716418;1,93103448275862;2,37931034482759;0,845977011494253;0,460301938582947
"227";"20001010027P2";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";1;3;0,333333333333333;1,71428571428571;1,78571428571429;0,964285714285714;0,648809523809524
"228";"20001010028P9";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";3;20;0,15;1,77777777777778;1,44444444444444;1,27777777777778;0,713888888888889
"229";"20001010029P5";"DIREITO";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";2;10;0,2;2;1,18181818181818;1,77272727272727;0,986363636363636
"230";"20001010031P0";"MATERIAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";4;24;0,166666666666667;1,35294117647059;2,15686274509804;0,763071895424837;0,464869281045752
"231";"20001010032P6";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";2;9;0,222222222222222;2,33333333333333;1,33333333333333;1,66666666666667;0,944444444444444
"232";"20001010039P0";"ENSINO";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";5;14;0,357142857142857;NA;NA;NA;NA
"233";"20001010041P5";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";1;1;1;1;1;1;1
"234";"20001010042P1";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";4;10;0,4;3,18181818181818;3,54545454545455;0,911255411255411;0,655627705627706
"235";"20001010043P8";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";1;2;0,5;1,83333333333333;2,16666666666667;0,95;0,725
"236";"20002017001P0";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";1996;"ACADÊMICO";"4";8;127;0,062992125984252;1,87931034482759;2,37931034482759;0,899904214559387;0,481448170271819
"237";"20002017002P6";"MEDICINA VETERINÁRIA";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";3;23;0,130434782608696;2,66666666666667;3;0,944444444444444;0,53743961352657
"238";"20002017003P2";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"ESTADUAL";"PÚBLICA";2010;"ACADÊMICO";"3";3;33;0,0909090909090909;1,28571428571429;1,21428571428571;1,07142857142857;0,581168831168831
"239";"20002017004P9";"CIÊNCIA DA COMPUTAÇÃO";"ESTADUAL";"PÚBLICA";2011;"PROFISSIONAL";"3";1;3;0,333333333333333;1,58823529411765;1,47058823529412;1,04901960784314;0,691176470588235
"240";"20002017005P5";"MEDICINA VETERINÁRIA";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";1;3;0,333333333333333;1,04347826086957;1,21739130434783;0,91304347826087;0,623188405797101
"241";"20002017007P8";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";8;26;0,307692307692308;2,29411764705882;2,23529411764706;1,05882352941176;0,683257918552036
"242";"20002017008P4";"HISTÓRIA";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";6;37;0,162162162162162;2,21875;2,71875;0,916426282051282;0,539294222106722
"243";"20002017009P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";2;33;0,0606060606060606;1,58333333333333;1,33333333333333;1,14351851851852;0,60206228956229
"244";"20002017010P9";"INTERDISCIPLINAR";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";2;41;0,0487804878048781;1,63157894736842;1,47368421052632;1,15789473684211;0,603337612323492
"245";"20002017039P7";"GEOGRAFIA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";3;22;0,136363636363636;1,26086956521739;1,69565217391304;0,826086956521739;0,481225296442688
"246";"20002017040P5";"LETRAS / LINGUÍSTICA";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";2;9;0,222222222222222;1,70833333333333;2,5;0,825925925925926;0,524074074074074
"247";"20003013001P6";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";3;23;0,130434782608696;NA;NA;NA;NA
"248";"20003013002P2";"QUÍMICA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";2;13;0,153846153846154;NA;NA;NA;NA
"249";"20009011001P4";"ODONTOLOGIA";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";3;12;0,25;1,33333333333333;2,66666666666667;0,583333333333333;0,416666666666667
"250";"20009011002P0";"CIÊNCIAS BIOLÓGICAS III";"PARTICULAR";"PRIVADA";2008;"ACADÊMICO";"3";1;25;0,04;1,26666666666667;1,36666666666667;0,966666666666667;0,503333333333333
"251";"20009011003P7";"SAÚDE COLETIVA";"PARTICULAR";"PRIVADA";2013;"PROFISSIONAL";"3";1;3;0,333333333333333;1,53571428571429;1,39285714285714;1,125;0,729166666666667
"252";"21001014001P6";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"4";3;58;0,0517241379310345;2,40909090909091;2,18181818181818;1,30140692640693;0,67656553216898
"253";"21001014002P2";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";2;94;0,0212765957446809;1,83333333333333;1,83333333333333;1;0,51063829787234
"254";"21001014003P9";"QUÍMICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";6;81;0,0740740740740741;1,37931034482759;1,37931034482759;1,0632183908046;0,568646232439336
